question,answer,times_asked
accepteriez-vous de travailler à distance et sur site (travail hybride):oui^non,,7.0
experience web development:yes^no,,7.0
"link to your github profile (if not applicable, just type n/a)",,7.0
experience docker or kubernetes or ci/cd or devops:select an option^yes^no,,7.0
"4 years experience - cloud, container and virtualization technologies (e.g. azure devops, docker, ).:select an option^yes^no",,7.0
"are texas and can easily commute to the austin, tx office location:yes^no",,7.0
how many weeks from receiving an offer would be available to commence full-time work / notice period,,7.0
"(or a history/record having) a disability:yes, i a disability, or a history/record having a disability^no, i dont a disability, or a history/record having a disability^i dont wish to answer",,7.0
describe current projects you're working on at your current company or previous.,,7.0
machine learning,,7.0
experience sql,,7.0
are legally authorised to work the uk:select an option^yes^no,,7.0
"if worked for any the following companies the past two years, please select them:select an option^commvault^dell emc^rubrik^clumio^druva^varonis^veeam^veritas^i not worked at any these companies",,7.0
arcgis online,,7.0
please type your current company,,7.0
ever delivered a significant piece software:select an option^yes^no,,7.0
¿cuántos años de experiencia tienes con php,,6.0
this role will require a hybrid work schedule 3 days the week working the montreal office - tuesday and thursday the office is . are able to work this hybrid work schedule:select an option^no^yes,,6.0
are located canada:yes^no,,6.0
are able to efficiently utilize devops tools and practices to build and deploy software:select an option^yes^no,,6.0
¿cuántos años de experiencia tienes con django,,6.0
experience the finance/banking field:select an option^yes^no,,6.0
¿has obteniel siguiente título grado/licenciatura:sí^no,,6.0
an understanding operating system internals and strive to understand low-level details:select an option^yes^no,,6.0
are related to anyone working at lifeworks:yes^no,,6.0
interconnection,,6.0
4+ years experience devops engineer:yes^no,,6.0
years unreal,,6.0
are authorized to work the united states for any employer:select an option^no^yes,,6.0
cmdb,,6.0
implementing discovery,,6.0
experience amazon web services (aws):select an option^yes^no,,6.0
preferred programming language,,6.0
ruby,,6.0
databricks,,6.0
data scientist,,6.0
require a work permit to work the country which this position is located:no - work permit not required^yes - work permit required,,6.0
"are open to relocating to one our office locations (new york, pittsburgh, fremont, redwood city, or montreal)",,6.0
we are looking for a python expert.  proven  python building web applications,,6.0
"a basic understanding cloud infrastructure, containers and cloud computing:select an option^yes^no",,6.0
"by checking this box, will declare that read and understand the technicolor creative studios privacy policy, and the smartrecruiters privacy policy and smartrecruiters  terms use.i agree terms & conditions",,6.0
"this role is 100% remote. for scheduling interviews, can please share your current location",,6.0
2+ years experience aws:yes^no,,6.0
"1+ years experience sandbox technologies, threat hunting, or security operations:select an option^yes^no",,6.0
combien dannées dexpérience avez-vous en tant que secteur industriel,,6.0
2+ years technical  outside internships and college research assistant roles:select an option^yes^no,,6.0
"are eligible to work canada on an ongoing basis:yes, i am authorized to work canada on an ongoing basis.^no, i am not authorized to work canada on an ongoing basis.",,6.0
"equally strong front-end development experience javascript, html and css technologies, an eye for improving user experience (ux):select an option^yes^no",,6.0
combien dannées dexpérience avez-vous en tant que service clients,,6.0
generalist duties,,6.0
accepteriez-vous de travailler sur site:oui^non,,6.0
extensive experience working relational databases and handling large time-series datasets:select an option^yes^no,,6.0
êtes-vous légalement autorisé(e) à travailler au canada:select an option^yes^no,,6.0
are legally eligible to work canada or the united states for any employer on an ongoing basis:yes^no,,6.0
"avez-vous le niveau détudes requis  bts, dut (ou diplôme de niveau bac+2):oui^non",,6.0
hands-on  working on servicenow itom,,6.0
proven expert knowledge programming concepts such as object-oriented programming and experience architecting large applications python:select an option^yes^no,,6.0
"experience microsoft sql databases, ssis / ssrs development",,6.0
pcb bring-up  have,,6.0
"analyzing network pcaps, process memory, malicious scripts and executables:select an option^yes^no",,6.0
are based canada:select an option^yes^no,,5.0
programmation,,5.0
experience developing and maintaining apis:select an option^yes^no,,5.0
quelles sont tes attentes salariales,,5.0
experience backend development have,,5.0
event management,,5.0
in-depth experience azure data factory:select an option^yes^no,,5.0
experience nethris payroll:select an option^yes^no,,5.0
"now, or will the future, require sponsorship for employment visa status to work legally for our company canada:select an option^no^yes",,5.0
"she/they/he, or the pronouns want us to use",,5.0
are an australian citizen or permanent resident australia:select an option^yes^no,,5.0
snowflake cloud,,5.0
securing .net applications,,5.0
full knowledge the life cycle the development process for renewable energy:select an option^yes^no,,5.0
¿cuántos años de experiencia tienes con node.js,,5.0
windows powershell,,5.0
"are an active communicator who can collaborate and lead by example meetings, on slack and pull requests:select an option^yes^no",,5.0
age range:select an option^17 or younger^18-20^21-29^30-39^40-49^50-59^60 or older^i don't wish to answer,,5.0
specific experience security developer have,,5.0
jquery,,5.0
at least 5 years full-time experience working node.js:select an option^yes^no,,5.0
"hands on experience designing, developing and successful deployment large scale projects from end-to-end:select an option^yes^no",,5.0
numero di telefono cellulare,,5.0
a minimum 2years professional experience jasvascript/typescript and react.js:yes^no,,5.0
sitecore,,5.0
"know, or are related to, a current tangocardian (aka an employee at tango card)",,5.0
experience are having angular,,5.0
avez-vous soit un bac/3 ans d'expérience ou une technique/5 ans d'expérience:select an option^yes^no,,5.0
combien dannées dexpérience avez-vous en tant que conseil,,5.0
qual è il tuo gradi conoscenza della lingua inglese:select an option^nessuno^parlato^professionale^madrelingua o bilingue,,5.0
can design incremental software solutions/features that span all layers the stack to address business needs:select an option^yes^no,,5.0
available start date and notice period to your employer,,5.0
are legally eligible to work the country where the job is located:select an option^no^yes,,5.0
working elasticsearch or opensearch,,5.0
netsuite,,5.0
data science focon ai/ml products.,,5.0
notice period,,5.0
"proficiency java or c++ to design and write clean, well-structured and optimal code for embedded systems:select an option^yes^no",,5.0
"experience conducting power flow studies:yes, i experience conducting power flow studies^no, i not experience power flow studies",,5.0
a degree computer science or a related field:select an option^yes^no,,5.0
"by checking this box, will declare that read and understand the block privacy policy, and the smartrecruiters privacy policyand smartrecruiters terms use.i agree terms & conditions:i agree terms & conditions",,5.0
python:select an option^0^1^2^3^4^5^6^7^8^9^+10,,5.0
¿cuántos años de experiencia tienes con mysql,,5.0
hands on  regex,,5.0
"three or more years industrial or post-doc experience or equivalent scientific programming, computational modeling, or applied mathematics:select an option^yes^no",,5.0
¿cuántos años de experiencia tienes con amazon web services (aws),,5.0
are bilingual english and french (written & verbal):yes^no,,5.0
what city and state currently reside,,5.0
documentation,,5.0
were referred by an employee connected,,5.0
"strong knowledge puppet, chef or ansible. experience",,5.0
worked gcp,,5.0
combien d'années d'expérience possédez-vous en gestion immobilière multirésidentielle,,5.0
"la maîtrise de la langue française est primordiale puisquelle occupe un bon pourcentage des communications effectuées, et ce, autant à linterne quà lexterne. maîtrisez-vous la langue française:select an option^yes^no",,5.0
"where are based (geographicly):montreal or quebec city^canada, us or latam?^elsewhere the world",,5.0
are willing to take drug test and background check:yes^no,,5.0
worked senior or lead level developer on a cloud or saas product:select an option^yes^no,,5.0
linkedprofile / profil linkedin,,5.0
backend development  have,,5.0
what city and country are currently located in,,5.0
"are currently eligible to work the eu, switzerland, or the uk:select an option^no^yes",,5.0
"are experienced methods and complex algorithmic development, coding implementation, and validation:select an option^yes^no",,5.0
are a canadian citizen:select an option^yes^no,,5.0
will now (or the future) require visa sponsorship for employment at tango card:select an option^no^yes,,5.0
coding experience,,5.0
"a good understanding engineering theory and principles operation software and system, software development process:select an option^yes^no",,5.0
"i identify my ethnicity as (select all that apply):select an option^white / caucasian^hispanic, latino, or spanish origin^black or african american^asian^native hawaiian or other pacific islander^indigenous peoples, first nations, native american, or alaska native^middle eastern or north african^some other race, ethnicity, or origin^i don't wish to answer",,5.0
at least 2 years proven experience full-stack engineer or similar role:select an option^yes^no,,5.0
"experience scrum/agile software development process, change management:select an option^yes^no",,5.0
advertising project management,,5.0
"development experience needed language or technology (e.g. - websphere, informatica etc.):select an option^yes^no",,5.0
"this job position is located montreal, canada. are eligible to work canada, the us, the uk, or the eu, and are willing to relocate to montreal:select an option^yes^no",,5.0
are looking for an full-time-position as an employee or are also open to working free-lancer/consultant:employee only^consultant only^employee or consultant - either is good!,,5.0
"if referred to this position by a resource innovations employee, please provide their name here!",,5.0
at least 5 years experience software engineering:yes^no,,5.0
évaluez votre niveau d'expérience avec react.jsrienminimalintermédiaireavancé:rien^minimal^intermédiaire^avancé,,5.0
are a canadian citizen living canada:select an option^yes^no,,5.0
can create implementation plans and help the team achieve the needed outcomes:select an option^yes^no,,5.0
most important achievement your career (ideally tech!),,5.0
are able to attaa government security top secret clearance:select an option^yes^no,,5.0
will now or the future require employer sponsorship for employment visa status:select an option^no^yes,,5.0
are currently an employee tango card:select an option^no^yes,,5.0
please provide your linkedurl,,5.0
are a referral a current tangocardian:select an option^no^yes,,5.0
desired monthly salary usd,,5.0
what kinds problems like to solve,,5.0
"professional experience pss/e, ge pslf, tara or similar tools",,5.0
"domaknowledge and experience software development on the android system, and exposure various components and layers:select an option^yes^no",,5.0
microsoft dynamics nav,,5.0
"by checking this box, will declare that read and understand the gsoft privacy policy, and the smartrecruiters privacy policyand smartrecruiters terms use.i agree terms & conditions:i agree terms & conditions",,5.0
experience data engineering and/or building custom etl pipelines (ideally tools such as spark or pyspark:select an option^yes^no,,5.0
"at least 5 years technical pre-sales, tendering and/or solution design:select an option^yes^no",,5.0
read the job description thoroughly and understand the experience:select an option^yes^no,,5.0
currently reside withcanada:yes^no,,5.0
wie gut beherrschen sie deutsch:select an option^gar nicht^gut^verhandlungssicher^muttersprache oder zweisprachig,,5.0
privacy:select an option^i agree,,5.0
jakarta persistence,,5.0
etes-vous en mesure d'utiliser le français et l'anglais comme langues de travail au quotidien:select an option^yes^no,,5.0
dans quels ville et pays résides-tu actuellement,,5.0
angular typescript,,5.0
software development  have,,5.0
keras,,5.0
¿cuántos años de experiencia tienes con c++,,5.0
robotics application engineering,,5.0
temenos t24,,5.0
why want to work at suade,,5.0
would your commute to our toronto office exceed 1 hour:yes^no,,5.0
combien dannées dexpérience avez-vous en tant que gestion,,5.0
¿cuántos años de experiencia tienes con inteligencia artificial,,5.0
"terms work location, what would be ideally seeking for this role:select an option^seattle hq office^boise office^omaha office^hybrid (remote & office)^100% remote",,5.0
level experience,,5.0
knowledge regional environmental and site permitting processes:select an option^yes^no,,5.0
desired salary range:select an option^less than 20 lakhs per annum^20 - 24 lakhs per annum^24 - 28 lakhs per annum^28 - 32 lakhs per annum^32 - 36 lakhs per annum^36 - 40 lakhs per annum^40 - 44 lakhs per annum^44 - 48 lakhs per annum^48 - 52 lakhs per annum^52 - 56 lakhs per annum^more than 56 lakhs per annum,,5.0
back-end development have,,5.0
combien d'années d'expérience possédez-vous en gestion d'équipe,,5.0
how did hear about solstice:select an option^angellist^blackjobs.com^built boston^career contessa^career fair^career jet^diversity.com^diversity jobs^facebook^glassdoor^google jobs^handshake^hispanic/latino professionals association (hlpa)^idealist^imdiversity^indeed^job is job^jobcase^jobs the us^jooble^laborx^linkedin^live career^masscec^monster^national black mba association^nlx^other^recruit.net^resume library^sistas sales^solstice's website^trovit^university recruiting^workable^zip recruiter,,5.0
what is the highest level education obtained:select an option^ged or equivalent^high school^some college^college - associates^college - bachelor arts^college - bachelor fine arts^college - bachelor science^college - master arts^college - master science^college - master fine arts^college - master business administration^college - doctorate^other,,5.0
recent  terraform,,5.0
budget 21- 120 k/year usd:select an option^yes^no,,5.0
windows communication foundation (wcf),,5.0
are fluent french:select an option^yes^no,,5.0
are able to write code a portable way:select an option^yes^no,,5.0
android sdk,,5.0
"if were referred by a resource innovations employee, please add their name here.",,5.0
"an electrical engineering and/or meteorology background the solar industry:yes, i electrical engineering and/or meteorology experience the solar industry^no, i not electrical engineering or meteorology experience the solar industry",,5.0
3 years related:select an option^yes^no,,5.0
"ever participated hackathons, olympiads, or other similar events",,5.0
experience web based application,,4.0
"acceptez-vous de faire lobjet dune vérification des antécédents, conformément à la loi et aux réglementations locales:oui^non",,4.0
are able and willing to travel for work:yes^no,,4.0
number years experience video game development,,4.0
the right to work the uk:select an option^yes^no,,4.0
good knowledge flask and/or fast api:select an option^yes^no,,4.0
dedicated php development  have:select an option^less than 1 year^1 to 2 years^2 to 3 years^3 to 4 years^4 to 5 years^5+ years,,4.0
wie viele jahre erfahrung haben sie mit python (programmiersprache),,4.0
